YEAR,SEASON,STATE,TOTAL_ANN_LOSS,BEEKEEPERS,STATE_BEEKEEPERS,COLONIES,STATE_COLONIES
2016,Annual,Massachusetts,0.16,87,0.94,27186,0.02
2016,Annual,Montana,0.17,21,0.52,35905,0
2016,Annual,Nevada,0.23,13,0.92,2512,0.05
2016,Annual,Maine,0.23,65,0.94,41102,0.01
2016,Annual,Wyoming,0.23,18,0.78,6521,0.01
2016,Annual,Hawaii,0.26,10,1.00,84,1
2016,Annual,Mississippi,0.26,9,0.22,17802,0
2016,Annual,West Virginia,0.27,52,0.94,993,0.8
2016,Annual,Idaho,0.27,30,0.83,76794,0.02
2016,Annual,Florida,0.29,62,0.82,95872,0.04
2016,Annual,Wisconsin,0.29,99,0.94,15800,0.1
2016,Annual,North Carolina,0.3,206,0.96,7246,0.21
2016,Annual,California,0.31,163,0.63,383369,0.2
2016,Annual,Georgia,0.31,81,0.88,38443,0.08
2016,Annual,MultiStateOperation,0.32,126,0.00,345567,0
2016,Annual,South Dakota,0.32,12,0.50,29626,0
2016,Annual,Oregon,0.32,137,0.93,35433,0.02
2016,Annual,Michigan,0.33,138,0.96,14949,0.12
2016,Annual,Missouri,0.34,88,0.97,1177,0.94
2016,Annual,Texas,0.35,136,0.93,60699,0.09
2016,Annual,Alabama,0.35,38,0.97,573,0.98
2016,Annual,New Mexico,0.35,19,0.95,359,0.3
2016,Annual,Louisiana,0.36,18,0.89,5970,0.11
2016,Annual,North Dakota,0.38,17,0.12,163861,0
2016,Annual,District of Columbia,0.39,20,0.90,106,0.81
2016,Annual,Ohio,0.39,233,0.98,2717,0.9
2016,Annual,Washington,0.4,89,0.90,85387,0.01
2016,Annual,Arkansas,0.4,32,0.91,3183,0.15
2016,Annual,Kentucky,0.41,50,0.94,3603,0.28
2016,Annual,Indiana,0.41,99,1.00,952,1
2016,Annual,New Jersey,0.41,74,0.93,4143,0.15
2016,Annual,New York,0.44,143,0.92,29782,0.14
2016,Annual,Virginia,0.44,371,0.97,3263,0.95
2016,Annual,Rhode Island,0.45,15,0.80,76,0.57
2016,Annual,Kansas,0.48,16,0.94,23181,0.01
2016,Annual,Colorado,0.48,90,0.96,669,0.95
2016,Annual,Vermont,0.49,43,0.93,2050,0.83
2016,Annual,Tennessee,0.49,57,1.00,1199,1
2016,Annual,Minnesota,0.49,79,0.87,27486,0.07
2016,Annual,Pennsylvania,0.52,581,0.98,15517,0.4
2016,Annual,Utah,0.53,167,0.97,3302,0.36
2016,Annual,South Carolina,0.54,53,0.94,6246,0.14
2016,Annual,Maryland,0.55,127,0.91,5582,0.33
2016,Annual,Illinois,0.59,94,0.98,906,1
2016,Annual,New Hampshire,0.6,49,0.94,757,0.5
2016,Annual,Connecticut,0.62,34,1.00,427,1
2016,Annual,Arizona,0.65,10,0.80,528,0.24
2016,Annual,Iowa,0.69,71,0.99,1074,0.99
2016,Annual,Nebraska,0.72,15,0.93,355,0.83
2016,Annual,Delaware,0.74,38,0.87,462,0.84
2016,Annual,Oklahoma,0.84,29,0.97,9513,0.19
2015,Annual,Louisiana,0.15,21,1.00,695,1
2015,Annual,Vermont,0.16,48,0.88,2374,0.49
2015,Annual,Montana,0.19,17,0.35,46949,0
2015,Annual,Rhode Island,0.25,19,0.84,94,0.76
2015,Annual,Tennessee,0.27,98,0.97,1247,0.92
2015,Annual,Colorado,0.28,130,0.97,3396,0.19
2015,Annual,District of Columbia,0.28,6,0.67,127,0.12
2015,Annual,Alabama,0.28,43,0.98,538,0.96
2015,Annual,Washington,0.32,118,0.93,38574,0.03
2015,Annual,Missouri,0.33,120,0.98,993,0.97
2015,Annual,South Carolina,0.34,97,0.97,2510,0.3
2015,Annual,Kentucky,0.35,71,0.99,829,1
2015,Annual,New Hampshire,0.36,48,0.90,305,0.86
2015,Annual,Maine,0.37,81,0.96,54707,0.01
2015,Annual,North Carolina,0.38,246,0.97,10635,0.22
2015,Annual,Hawaii,0.38,45,0.98,3656,1
2015,Annual,Idaho,0.38,45,0.62,141902,0.01
2015,Annual,Wyoming,0.38,26,0.69,26403,0.02
2015,Annual,Oregon,0.39,132,0.91,42656,0.22
2015,Annual,Indiana,0.4,152,0.99,1707,0.99
2015,Annual,California,0.4,182,0.63,485133,0.06
2015,Annual,MultiStateOperation,0.4,143,0.00,506729,0
2015,Annual,Nebraska,0.4,16,0.81,42030,0.01
2015,Annual,Nevada,0.4,5,0.80,3029,0.01
2015,Annual,Arizona,0.41,6,1.00,37,1
2015,Annual,Georgia,0.41,65,0.92,3034,0.31
2015,Annual,Virginia,0.41,553,0.98,4163,0.87
2015,Annual,North Dakota,0.43,26,0.12,284204,0
2015,Annual,Ohio,0.43,236,0.98,2797,0.96
2015,Annual,South Dakota,0.44,13,0.39,92609,0
2015,Annual,Connecticut,0.44,66,0.94,865,0.96
2015,Annual,Texas,0.46,95,0.80,187895,0.01
2015,Annual,Michigan,0.46,195,0.99,6572,0.31
2015,Annual,Illinois,0.46,127,0.97,1318,0.97
2015,Annual,New York,0.47,145,0.92,39981,0.07
2015,Annual,Minnesota,0.49,109,0.89,53969,0.06
2015,Annual,West Virginia,0.5,55,0.91,1433,0.46
2015,Annual,Arkansas,0.51,36,0.92,2020,0.2
2015,Annual,Wisconsin,0.51,121,0.95,39422,0.19
2015,Annual,New Jersey,0.54,112,0.90,9220,0.11
2015,Annual,New Mexico,0.54,17,0.88,148,0.92
2015,Annual,Massachusetts,0.56,113,0.96,1304,0.97
2015,Annual,Maryland,0.56,128,0.93,30617,0.1
2015,Annual,Kansas,0.57,32,0.97,8737,0.13
2015,Annual,Florida,0.57,58,0.90,51627,0.19
2015,Annual,Pennsylvania,0.57,599,0.98,29963,0.19
2015,Annual,Oklahoma,0.58,38,0.97,7307,0.24
2015,Annual,Iowa,0.59,48,0.96,1256,0.64
2015,Annual,Utah,0.59,38,0.87,15873,0.03
2015,Annual,Delaware,0.6,21,0.76,25674,0.01
2015,Annual,Mississippi,0.71,12,0.67,22399,0
2015,Annual,Puerto Rico,,1,1.00,1,1
2015,Annual,Alaska,,2,1.00,7,1
2014,Annual,Hawaii,0.14,28,1.00,12093,1
2014,Annual,Oregon,0.25,142,0.94,44306,0.29
2014,Annual,South Carolina,0.26,71,0.89,2853,0.2
2014,Annual,Nevada,0.27,7,0.71,1853,0.02
2014,Annual,Idaho,0.28,48,0.71,94547,0
2014,Annual,Michigan,0.32,210,0.98,11192,0.93
2014,Annual,Wyoming,0.33,11,0.64,18200,0
2014,Annual,Utah,0.34,41,0.83,20822,0.01
2014,Annual,Vermont,0.34,50,0.92,731,0.72
2014,Annual,Missouri,0.35,94,0.97,1839,0.97
2014,Annual,Georgia,0.35,74,0.87,5923,0.27
2014,Annual,South Dakota,0.36,15,0.47,100410,0
2014,Annual,Tennessee,0.36,73,0.96,1691,0.74
2014,Annual,Nebraska,0.37,12,0.75,95755,0
2014,Annual,North Dakota,0.38,30,0.07,256234,0
2014,Annual,Colorado,0.38,178,0.98,84676,0.01
2014,Annual,California,0.38,183,0.63,423823,0.13
2014,Annual,Mississippi,0.39,11,0.82,20681,0.01
2014,Annual,Washington,0.39,128,0.91,148277,0.01
2014,Annual,New Hampshire,0.39,42,0.93,470,0.64
